actor_id,sex,parentage,vole_group,genotype
Q573,F,-12,,
Q398,M,PV-B-7,,
Q532,F,-7,,
Q522,M,PV-B-7,,
Q531,F,-7,,
Q399,M,PV-B-7,,
Q574,F,-12,,
Q521,M,PV-B-5,,
Q690,F,EXP11-C3,,
Q606,M,PV-B-7,,
Q699,F,EXP10-C3,,
Q607,M,PV-C-134 New,,
Q691,F,EXP11-C3,,
Q680,M,EXP11-3,,
Q698,F,EXP10-C3,,
Q681,M,EXP10-4,,
Q704.1,F,EXP11-C1,,
Q696,M,EXP10-C3,,
Q703,F,EXP11-C5,,
Q697,M,EXP10-C3,,
Q704,F,EXP10-C3,,
Q708,M,EXP11-C6,,
Q704.2,F,EXP11-C3,,
Q709,M,EXP11-C7,,
Q693.2,F,EXP11-C3,,
Q685,M,EXP10-C3,,
Q693.1,F,EXP11-C3,,
Q686,M,EXP10-C6,,
Q693.5,F,EXP11-C3,,
Q694,M,EXP10-C3,,
Q693.4,F,EXP11-C3,,
Q695,M,EXP10-C3,,
